"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Lance Moore",3000,"Det@Sea 08:30PM ET",3.300,"Det"
"WR","Jason Avant",3000,"KC@Cin 01:00PM ET",0.000,"KC"
"TE","Vernon Davis",3000,"GB@SF 04:25PM ET",9.450,"SF"
"WR","Devin Hester",3000,"Hou@Atl 01:00PM ET",0,"Atl"
"WR","Miles Austin",3000,"Phi@Was 01:00PM ET",2.100,"Phi"
"WR","Andre Caldwell",3000,"Min@Den 04:25PM ET",1.350,"Den"
"RB","Tyler Clutts",3000,"Dal@NO 08:30PM ET",0.000,"Dal"
"WR","Eric Weems",3000,"Hou@Atl 01:00PM ET",0.000,"Atl"
"RB","Jerome Felton",3000,"NYG@Buf 01:00PM ET",0.000,"Buf"
"WR","Marcus Thigpen",3000,"NYG@Buf 01:00PM ET",0.000,"Buf"
"RB","Cedric Peerman",3000,"KC@Cin 01:00PM ET",0.000,"Cin"
"RB","Mike Tolbert",3000,"Car@TB 01:00PM ET",4.150,"Car"
"WR","Andrew Hawkins",3000,"Cle@SD 04:05PM ET",6.350,"Cle"
"RB","John Kuhn",3000,"GB@SF 04:25PM ET",0.000,"GB"
"WR","Seyi Ajirotutu",3000,"Phi@Was 01:00PM ET",0.000,"Phi"
"WR","Marlon Moore",3000,"Cle@SD 04:05PM ET",0.000,"Cle"
"WR","Brandon Tate",3000,"KC@Cin 01:00PM ET",0.000,"Cin"
"RB","Darrel Young",3000,"Phi@Was 01:00PM ET",0.400,"Was"
"TE","Jared Cook",3000,"StL@Ari 04:25PM ET",11.600,"StL"
"RB","Donald Brown",3000,"Cle@SD 04:05PM ET",0,"SD"
"RB","Jorvorskie Lane",3000,"Car@TB 01:00PM ET",0.000,"TB"
"WR","Jordan Norwood",3000,"Min@Den 04:25PM ET",4.450,"Den"
"RB","Shaun Draughn",3000,"Cle@SD 04:05PM ET",0.200,"Cle"
"RB","Marcel Reece",3000,"Oak@Chi 01:00PM ET",10.100,"Oak"
"WR","Dwayne Harris",3000,"NYG@Buf 01:00PM ET",0.367,"NYG"
"RB","Bruce Miller",3000,"GB@SF 04:25PM ET",0.850,"SF"
"WR","Marc Mariani",3000,"Oak@Chi 01:00PM ET",0.000,"Chi"
"WR","Bryan Walters",3000,"JAC@Ind 01:00PM ET",3.700,"JAC"
"WR","Andre Roberts",3000,"Phi@Was 01:00PM ET",3.467,"Was"
"WR","Jacoby Jones",3000,"Cle@SD 04:05PM ET",0.000,"SD"
"WR","Riley Cooper",3000,"Phi@Was 01:00PM ET",2.750,"Phi"
"RB","Fred Jackson",3000,"Det@Sea 08:30PM ET",6.250,"Sea"
"RB","Boobie Dixon",3000,"NYG@Buf 01:00PM ET",3.050,"Buf"
"RB","Toby Gerhart",3000,"JAC@Ind 01:00PM ET",0,"JAC"
"RB","Chase Reynolds",3000,"StL@Ari 04:25PM ET",0.000,"StL"
"WR","Joseph Morgan",3000,"Dal@NO 08:30PM ET",0.000,"NO"
"RB","Fozzy Whittaker",3000,"Car@TB 01:00PM ET",1.400,"Car"
"WR","Marcus Easley",3000,"NYG@Buf 01:00PM ET",0.000,"Buf"
"RB","Matt Asiata",3000,"Min@Den 04:25PM ET",3.000,"Min"
"RB","Taiwan Jones",3000,"Oak@Chi 01:00PM ET",2.650,"Oak"
"WR","Dontrelle Inman",3000,"Cle@SD 04:05PM ET",0.000,"SD"
"WR","Greg Little",3000,"KC@Cin 01:00PM ET",0,"Cin"
"WR","Jeremy Kerley",3000,"NYJ@Mia 09:30AM ET",0.000,"NYJ"
"RB","Anthony Sherman",3000,"KC@Cin 01:00PM ET",0.500,"KC"
"RB","Will Tukuafu",3000,"Det@Sea 08:30PM ET",0,"Sea"
"RB","Robert Turbin",3000,"Cle@SD 04:05PM ET",0,"Cle"
"RB","Will Johnson",3000,"Bal@Pit 08:25PM ET",3.350,"Pit"
"RB","Bobby Rainey",3000,"Car@TB 01:00PM ET",2.100,"TB"
"RB","Roy Helu Jr.",3000,"Oak@Chi 01:00PM ET",0.000,"Oak"
"RB","Patrick DiMarco",3000,"Hou@Atl 01:00PM ET",1.450,"Atl"
"RB","Isaiah Pead",3000,"StL@Ari 04:25PM ET",-0.350,"StL"
"RB","Austin Johnson",3000,"Dal@NO 08:30PM ET",4.500,"NO"
"RB","Jacquizz Rodgers",3000,"Oak@Chi 01:00PM ET",1.200,"Chi"
"RB","Jarryd Hayne",3000,"GB@SF 04:25PM ET",1.150,"SF"
"RB","Kenjon Barner",3000,"Phi@Was 01:00PM ET",0,"Phi"
"WR","Brice Butler",3000,"Dal@NO 08:30PM ET",0.000,"Dal"
"RB","Zach Line",3000,"Min@Den 04:25PM ET",3.050,"Min"
"WR","Chris Owusu",3000,"NYJ@Mia 09:30AM ET",4.750,"NYJ"
"WR","Griff Whalen",3000,"JAC@Ind 01:00PM ET",0.000,"Ind"
"WR","Brenton Bersin",3000,"Car@TB 01:00PM ET",0,"Car"
"RB","Derrick Coleman",3000,"Det@Sea 08:30PM ET",0.600,"Sea"
"WR","Frankie Hammond Jr.",3000,"KC@Cin 01:00PM ET",0,"KC"
"WR","Jaron Brown",3000,"StL@Ari 04:25PM ET",5.900,"Ari"
"WR","Chris Givens",3000,"StL@Ari 04:25PM ET",0.850,"StL"
"WR","B.J. Daniels",3000,"Det@Sea 08:30PM ET",0,"Sea"
"RB","Jordan Todman",3000,"Bal@Pit 08:25PM ET",0.550,"Pit"
"WR","Jarius Wright",3000,"Min@Den 04:25PM ET",4.650,"Min"
"RB","Jonas Gray",3000,"NYJ@Mia 09:30AM ET",0,"Mia"
"WR","Russell Shepard",3000,"Car@TB 01:00PM ET",0.800,"TB"
"RB","Knile Davis",3000,"KC@Cin 01:00PM ET",5.350,"KC"
"RB","Mike James",3000,"Car@TB 01:00PM ET",0,"TB"
"RB","Tommy Bohanon",3000,"NYJ@Mia 09:30AM ET",0.100,"NYJ"
"WR","Ryan Grant",3000,"Phi@Was 01:00PM ET",4.300,"Was"
"RB","Rex Burkhead",3000,"KC@Cin 01:00PM ET",2.600,"Cin"
"WR","Michael Campanaro",3000,"Bal@Pit 08:25PM ET",0.900,"Bal"
"RB","Nikita Whitlock",3000,"NYG@Buf 01:00PM ET",0.000,"NYG"
"RB","Kyle Juszczyk",3000,"Bal@Pit 08:25PM ET",3.900,"Bal"
"RB","Stepfan Taylor",3000,"StL@Ari 04:25PM ET",0.000,"Ari"
"RB","Zac Stacy",3000,"NYJ@Mia 09:30AM ET",0.000,"NYJ"
"WR","Tony Washington",3000,"JAC@Ind 01:00PM ET",0,"JAC"
"RB","Branden Oliver",3000,"Cle@SD 04:05PM ET",1.650,"SD"
"WR","Dri Archer",3000,"Bal@Pit 08:25PM ET",0.000,"Pit"
"WR","Marquise Goodwin",3000,"NYG@Buf 01:00PM ET",0,"Buf"
"RB","Brandon Wegher",3000,"Car@TB 01:00PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Car@TB 01:00PM ET",0.000,"Car"
"RB","Theo Riddick",3000,"Det@Sea 08:30PM ET",10.150,"Det"
"WR","Ricardo Lockette",3000,"Det@Sea 08:30PM ET",0.000,"Sea"
"RB","Christine Michael",3000,"Dal@NO 08:30PM ET",0,"Dal"
"RB","Denard Robinson",3000,"JAC@Ind 01:00PM ET",3.700,"JAC"
"WR","Bennie Fowler",3000,"Min@Den 04:25PM ET",0.000,"Den"
"WR","Nick Williams",3000,"Hou@Atl 01:00PM ET",1.850,"Atl"
"WR","Devin Street",3000,"Dal@NO 08:30PM ET",1.400,"Dal"
"WR","Marlon Brown",3000,"Bal@Pit 08:25PM ET",3.850,"Bal"
"WR","Chris Matthews",3000,"Det@Sea 08:30PM ET",2.050,"Sea"
"RB","Bernard Pierce",3000,"JAC@Ind 01:00PM ET",0.900,"JAC"
"WR","Stedman Bailey",3000,"StL@Ari 04:25PM ET",4.900,"StL"
"WR","Kenny Stills",3000,"NYJ@Mia 09:30AM ET",2.500,"Mia"
"RB","Jay Prosch",3000,"Hou@Atl 01:00PM ET",0.200,"Hou"
"WR","TJ Jones",3000,"Det@Sea 08:30PM ET",0,"Det"
"RB","Orleans Darkwa",3000,"NYG@Buf 01:00PM ET",0.000,"NYG"
"RB","Roosevelt Nix",3000,"Bal@Pit 08:25PM ET",0.000,"Pit"
"WR","Rod Streater",3000,"Oak@Chi 01:00PM ET",1.800,"Oak"
"RB","Marcus Murphy",3000,"Dal@NO 08:30PM ET",0.000,"NO"
"WR","Joshua Bellamy",3000,"Oak@Chi 01:00PM ET",5.900,"Chi"
"RB","Malcolm Johnson",3000,"Cle@SD 04:05PM ET",1.700,"Cle"
"WR","Josh Huff",3000,"Phi@Was 01:00PM ET",3.950,"Phi"
"RB","Juwan Thompson",3000,"Min@Den 04:25PM ET",0.000,"Den"
"RB","Michael Burton",3000,"Det@Sea 08:30PM ET",0.100,"Det"
"WR","Albert Wilson",3000,"KC@Cin 01:00PM ET",2.750,"KC"
"RB","Corey Grant",3000,"JAC@Ind 01:00PM ET",0.800,"JAC"
"WR","DeAndrew White",3000,"GB@SF 04:25PM ET",3.800,"SF"
"WR","Matt Hazel",3000,"NYJ@Mia 09:30AM ET",0,"Mia"
"WR","Keith Mumphery",3000,"Hou@Atl 01:00PM ET",2.150,"Hou"
"RB","Jeremy Langford",3000,"Oak@Chi 01:00PM ET",4.100,"Chi"
"WR","Justin Hardy",3000,"Hou@Atl 01:00PM ET",0,"Atl"
"WR","J.J. Nelson",3000,"StL@Ari 04:25PM ET",-0.500,"Ari"
"WR","Andre Holmes",3000,"Oak@Chi 01:00PM ET",4.000,"Oak"
"WR","Corey Fuller",3000,"Det@Sea 08:30PM ET",0.000,"Det"
"WR","Geremy Davis",3000,"NYG@Buf 01:00PM ET",0.500,"NYG"
